#Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
290,Mangok Mathiang\mathima01,C,25,CHO,3,0,3.3,0,0.7,0,0,0,0,0,0.7,0,0,0,0,0,0.3,1.7,2,0,0,0,0,0.7,0
291,Wesley Matthews\matthwe02,SF,31,DAL,45,44,34.5,4.3,10.6,0.406,2.3,6,0.382,2,4.6,0.437,0.515,1.3,1.6,0.831,0.3,2.8,3.1,2.9,1.1,0.2,1.4,2.2,12.2
292,Luc Mbah a Moute\mbahalu01,PF,31,HOU,25,3,25.3,2.5,5.5,0.453,1,2.8,0.362,1.5,2.7,0.544,0.544,0.8,1.2,0.655,0.5,2.8,3.3,1,1.3,0.5,1.3,1.9,6.7
293,James Michael McAdoo\mcadoja01,PF,25,PHI,3,0,6,0.7,2.3,0.286,0.7,2.3,0.286,0,0,0,0.429,0.7,0.7,1,0,0.7,0.7,0,0,0.3,0.3,0.3,2.7
294,Patrick McCaw\mccawpa01,SG,22,GSW,42,6,16.3,1.6,3.7,0.448,0.4,1.4,0.254,1.3,2.3,0.568,0.497,0.4,0.6,0.72,0.3,1.2,1.5,1.4,0.8,0.1,0.6,1.1,4.1
295,C.J. McCollum\mccolcj01,SG,26,POR,43,43,36.3,8.2,18.3,0.449,2.5,5.8,0.426,5.7,12.4,0.46,0.517,2.7,3.1,0.873,0.7,3.4,4.1,3.3,1,0.4,2,2.2,21.6
296,T.J. McConnell\mccontj01,PG,25,PHI,35,1,24.8,3.3,6.2,0.532,0.4,1,0.4,2.9,5.2,0.557,0.564,0.4,0.5,0.789,0.5,2.9,3.5,4.8,1.3,0.3,1.9,1.8,7.5
297,Chris McCullough\mcculch01,PF,22,WAS,13,0,5.5,1.2,2.8,0.432,0.1,0.5,0.143,1.2,2.3,0.5,0.446,0.4,0.6,0.625,0.5,1.2,1.6,0.1,0,0.3,0,0.6,2.9
298,Doug McDermott\mcderdo01,SF,26,NYK,45,1,23.1,3.1,6.5,0.471,1.1,2.8,0.411,1.9,3.8,0.515,0.558,0.8,1,0.787,0.6,2,2.6,1,0.2,0.2,0.7,1.5,8.1
299,JaVale McGee\mcgeeja01,C,30,GSW,33,4,8.1,1.6,2.7,0.614,0,0.1,0,1.6,2.5,0.643,0.614,0.6,0.8,0.76,0.7,1.2,1.8,0.5,0.3,0.7,0.4,1.2,3.8
300,Alfonzo McKinnie\mckinal01,SF,25,TOR,9,0,3.7,0.4,0.8,0.571,0.1,0.4,0.25,0.3,0.3,1,0.643,0.2,0.3,0.667,0,0.6,0.6,0.1,0.1,0.1,0.1,0.7,1.2
301,Ben McLemore\mclembe01,SG,24,MEM,24,5,16.7,2.4,5.9,0.411,0.8,2.5,0.317,1.6,3.4,0.481,0.479,0.6,0.8,0.789,0.4,1.6,2,0.8,0.6,0.3,0.9,2.5,6.3
302,Josh McRoberts\mcrobjo01,PF,30,DAL,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
303,Jodie Meeks\meeksjo01,SG,30,WAS,43,0,15.9,1.9,5.3,0.357,0.9,2.8,0.311,1,2.4,0.41,0.441,1.5,1.7,0.865,0.2,1.5,1.7,0.8,0.4,0,0.6,0.9,6.1
304,Salah Mejri\mejrisa01,C,31,DAL,40,1,11.7,1.4,2,0.691,0,0.1,0,1.4,2,0.709,0.691,0.6,1.1,0.548,1.2,2.8,4,0.5,0.3,1.2,0.6,2.1,3.4
305,Jordan Mickey\mickejo01,PF,23,MIA,16,2,14.4,2,4.2,0.478,0.1,0.7,0.091,1.9,3.5,0.554,0.485,0.7,1,0.688,0.9,3.6,4.4,0.6,0.2,0.4,0.9,1.9,4.8
306,Khris Middleton\middlkh01,SF,26,MIL,44,44,37.2,7.3,15.9,0.457,1.9,5.6,0.341,5.4,10.3,0.52,0.517,3.6,4.1,0.872,0.4,4.6,5,4.2,1.3,0.2,2.3,3.3,20
307,C.J. Miles\milescj01,SF,30,TOR,36,3,18.6,3.3,8.5,0.39,2.4,6.4,0.379,0.9,2,0.425,0.534,1.1,1.3,0.851,0.3,1.7,1.9,0.6,0.7,0.3,0.6,1.9,10.2
308,Darius Miller\milleda01,SF,27,NOP,44,2,21.5,2.6,5.6,0.459,1.8,4.2,0.427,0.8,1.4,0.557,0.62,0.8,0.9,0.872,0.1,1.5,1.6,1.2,0.3,0.1,0.6,2,7.7
309,Malcolm Miller\millema01,SF,24,TOR,3,0,4.3,0.7,1.7,0.4,0.7,1.3,0.5,0,0.3,0,0.6,0,0,0,0.3,0.3,0.7,0,0,0,0,0.3,2
310,Patty Mills\millspa02,PG,29,SAS,46,12,24.3,3.3,7.8,0.42,1.8,4.6,0.395,1.5,3.2,0.456,0.536,1.3,1.4,0.879,0.3,1.7,2,2.8,0.7,0.1,1.3,1.4,9.6
311,Paul Millsap\millspa01,PF,32,DEN,16,16,29.7,5.6,12.6,0.446,1.3,3.6,0.345,4.4,9,0.486,0.495,2.8,4.1,0.692,1.5,4.7,6.2,3,1.1,1.3,2.1,2.4,15.3
312,Nikola Mirotic\mirotni01,PF,26,CHI,20,3,25,6.1,12.5,0.49,2.9,6.4,0.457,3.2,6.1,0.525,0.606,2.6,3.3,0.785,0.9,5.9,6.8,1.6,0.6,0.5,1.3,1.9,17.7
313,Donovan Mitchell\mitchdo01,SG,21,UTA,42,34,31.5,7.1,15.9,0.448,2.3,6.5,0.348,4.9,9.4,0.518,0.519,2.7,3.2,0.852,0.5,2.8,3.3,3.3,1.5,0.4,2.5,3.1,19.3
314,Naz Mitrou-Long\mitrona01,SG,24,UTA,1,0,1,1,1,1,1,1,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,3
315,Malik Monk\monkma01,SG,19,CHO,34,0,13.4,2,5.8,0.343,1.1,3.4,0.339,0.9,2.4,0.349,0.442,0.4,0.5,0.706,0.1,0.9,1,1.4,0.3,0.1,0.6,0.9,5.5
316,Greg Monroe\monrogr01,C,27,TOT,20,11,21,4.3,7.4,0.574,0,0,0,4.3,7.4,0.574,0.574,1.3,1.8,0.714,2.2,5,7.2,2.2,0.5,0.3,1.6,1.9,9.8
317,Luis Montero\montelu01,SG,24,DET,2,0,4,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,1,0,0
318,E'Twaun Moore\mooreet01,SG,28,NOP,44,42,32.3,5.3,10.1,0.528,1.7,3.9,0.444,3.6,6.2,0.581,0.614,0.5,0.8,0.657,0.7,2,2.7,2.2,1,0.1,1.2,2.3,12.9
319,Eric Moreland\moreler01,PF,26,DET,38,1,12,0.6,1.3,0.48,0,0,0,0.6,1.3,0.48,0.48,0.2,0.3,0.538,1.1,2.5,3.6,1.1,0.4,0.7,0.5,1.8,1.4
320,Marcus Morris\morrima03,PF,28,BOS,23,11,23.4,4.1,10,0.413,1.3,3.7,0.349,2.8,6.3,0.451,0.478,1.9,2.3,0.796,0.7,4.7,5.3,1.4,0.5,0.3,1.1,1.9,11.4
321,Markieff Morris\morrima02,PF,28,WAS,37,37,24.9,3.9,8.3,0.468,0.9,2.4,0.382,3,5.9,0.502,0.523,1.2,1.5,0.807,1.1,4.3,5.4,1.2,0.6,0.5,1.6,3.2,9.9
322,Monte Morris\morrimo01,PG,22,DEN,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
323,Johnathan Motley\motlejo01,PF,22,DAL,1,0,2,1,1,1,0,0,0,1,1,1,1,2,4,0.5,0,1,1,0,0,1,0,0,4
324,Timofey Mozgov\mozgoti01,C,31,BRK,25,14,12.8,1.7,3.2,0.544,0.2,0.7,0.222,1.6,2.4,0.639,0.57,0.8,1,0.76,1.1,2.3,3.4,0.3,0.2,0.4,1.2,1.4,4.4
325,Emmanuel Mudiay\mudiaem01,PG,21,DEN,33,0,19.3,3.2,8,0.398,1.1,2.7,0.404,2.1,5.3,0.394,0.466,1.7,2.2,0.803,0.4,2,2.4,3,0.5,0.1,2,1.2,9.2
326,Shabazz Muhammad\muhamsh01,SF,25,MIN,26,2,10.2,1.5,3.9,0.376,0.2,0.7,0.211,1.3,3.2,0.415,0.396,0.6,0.8,0.75,0.5,1,1.5,0.3,0.2,0.1,0.1,0.8,3.7
327,Dejounte Murray\murrade01,PG,21,SAS,46,14,17.7,2.5,6,0.415,0.1,0.3,0.2,2.4,5.7,0.427,0.421,1.2,1.7,0.697,1,3.7,4.7,2.5,0.8,0.3,1.5,1.6,6.2
328,Jamal Murray\murraja01,PG,20,DEN,44,44,29.5,5.6,12.7,0.438,1.8,5,0.353,3.8,7.7,0.493,0.507,2.5,2.8,0.917,1,2.4,3.4,2.7,0.9,0.3,2,1.8,15.4
329,Mike Muscala\muscami01,C,26,ATL,15,5,17.1,2,4.2,0.476,0.6,1.5,0.391,1.4,2.7,0.525,0.548,1.1,1.2,0.889,0.9,2.8,3.7,0.6,0.6,0.3,0.6,1.8,5.7
330,Abdel Nader\naderab01,SF,24,BOS,20,0,7.7,0.8,2.2,0.341,0.4,1.1,0.318,0.4,1.1,0.364,0.42,0.1,0.2,0.333,0.3,0.8,1,0.4,0.3,0.2,0.4,0.7,1.9
331,Larry Nance\nancela02,PF,25,LAL,33,17,21.8,3.7,6.3,0.589,0,0.1,0,3.7,6.2,0.595,0.589,1.3,2.1,0.629,2.5,4.2,6.7,1.4,1.4,0.5,1,2.8,8.7
332,Shabazz Napier\napiesh01,PG,26,POR,38,7,21.2,3.6,7.5,0.484,1.1,2.5,0.432,2.6,5,0.511,0.556,1.7,2,0.831,0.4,2,2.4,2.4,1.3,0.2,1.3,1.2,10
333,Jameer Nelson\nelsoja01,PG,35,NOP,38,0,21.7,1.8,4.7,0.395,0.8,2.4,0.348,1,2.2,0.447,0.486,0.3,0.4,0.765,0.3,2.1,2.3,3.7,0.6,0.1,1.4,1.5,4.9
334,Raul Neto\netora01,PG,25,UTA,19,0,13.1,1.9,3.9,0.48,0.6,1.3,0.48,1.3,2.6,0.48,0.56,0.5,0.8,0.667,0.1,1.1,1.2,2,0.3,0.1,0.8,0.8,4.9
335,Joakim Noah\noahjo01,C,32,NYK,6,0,6,0.7,1.5,0.444,0,0,0,0.7,1.5,0.444,0.444,0.3,0.7,0.5,1,1.2,2.2,0.7,0.3,0.3,0.5,0.8,1.7
336,Nerlens Noel\noelne01,C,23,DAL,18,6,12.5,1.6,2.9,0.528,0,0,0,1.6,2.9,0.528,0.528,0.9,1.1,0.842,1.4,2.6,4.1,0.3,0.6,0.6,0.8,1.7,4
337,Lucas Nogueira\noguelu01,C,25,TOR,26,2,10.5,1.3,2.1,0.618,0.1,0.4,0.273,1.2,1.7,0.705,0.645,0.5,0.5,0.857,0.5,1.7,2.2,0.4,0.6,1.2,0.4,1.4,3.2
338,Dirk Nowitzki\nowitdi01,C,39,DAL,45,45,25.1,4.6,9.9,0.465,1.6,3.9,0.412,3,6,0.5,0.547,1.3,1.5,0.894,0.4,5.1,5.5,1.7,0.6,0.4,0.7,1.7,12.2
339,Frank Ntilikina\ntilila01,PG,19,NYK,42,0,21.2,2.1,6,0.348,0.6,1.9,0.309,1.5,4.1,0.366,0.397,0.6,0.9,0.711,0.4,2,2.4,3.6,1.1,0.2,1.9,2.5,5.4
340,Jusuf Nurkic\nurkiju01,C,23,POR,41,41,27,5.8,12.6,0.464,0,0.2,0,5.8,12.4,0.47,0.464,2.7,4.2,0.651,2.1,5.8,7.8,1.9,0.8,1.3,2.6,3,14.4
341,David Nwaba\nwabada01,SG,25,CHI,33,3,23.1,2.7,5.2,0.523,0.1,0.5,0.25,2.6,4.7,0.551,0.535,1.9,2.9,0.639,1.1,3.5,4.6,1.2,0.8,0.5,0.8,2,7.5
342,Johnny O'Bryant\obryajo01,PF,24,CHO,28,0,10.7,2,5,0.407,0.3,1.1,0.29,1.7,3.9,0.44,0.439,0.7,0.9,0.833,0.9,1.9,2.8,0.4,0.3,0.1,0.5,1,5.1
343,Royce O'Neale\onealro01,SF,24,UTA,31,0,11.1,1.1,3,0.38,0.5,1.6,0.347,0.6,1.4,0.419,0.473,0.9,1.2,0.757,0.2,2.3,2.5,1,0.4,0,0.5,0.9,3.7
344,Kyle O'Quinn\oquinky01,C,27,NYK,45,3,17.1,2.8,4.8,0.593,0,0.1,0,2.8,4.6,0.611,0.593,1.3,1.7,0.744,1.5,4.5,6,2,0.4,1,1.3,2.8,6.9
345,Semi Ojeleye\ojelese01,PF,23,BOS,40,0,13.4,0.7,2.3,0.312,0.5,1.8,0.288,0.2,0.5,0.4,0.425,0.3,0.5,0.619,0.5,1.4,1.9,0.2,0.3,0,0.3,1,2.3
346,Jahlil Okafor\okafoja01,C,22,TOT,11,0,12.5,2.3,5,0.455,0,0.2,0,2.3,4.8,0.472,0.455,0.8,1.1,0.75,0.5,2.1,2.6,0.5,0.1,0.5,0.8,2.1,5.4
347,Victor Oladipo\oladivi01,SG,25,IND,39,39,34,8.7,17.9,0.489,2.6,6.3,0.416,6.1,11.6,0.529,0.562,4.2,5.4,0.789,0.5,4.7,5.2,4,2,0.9,2.8,2.4,24.3
348,Kelly Olynyk\olynyke01,PF,26,MIA,44,19,23.7,3.8,7.6,0.506,1.3,3,0.414,2.6,4.6,0.567,0.588,1.7,2.2,0.776,1.2,4.5,5.7,2.2,0.8,0.4,2.2,3.2,10.7
349,Cedi Osman\osmande01,SF,22,CLE,35,0,8.4,0.9,2,0.478,0.3,0.8,0.357,0.7,1.2,0.561,0.551,0.3,0.4,0.714,0.2,1.5,1.7,0.3,0.3,0,0.3,1,2.5
350,Kelly Oubre\oubreke01,SF,22,WAS,45,9,27.2,4,9.1,0.443,1.6,4,0.398,2.4,5.1,0.478,0.531,2.3,2.7,0.829,0.8,4.1,4.9,1.1,0.8,0.4,1.2,2.9,11.9
351,Zaza Pachulia\pachuza01,C,33,GSW,36,36,14.5,2.3,3.8,0.587,0,0,0,2.3,3.8,0.587,0.587,1.1,1.3,0.844,1,3.7,4.7,1.7,0.6,0.2,1.1,1.8,5.6
352,Marcus Paige\paigema01,PG,24,CHO,1,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0
353,Georgios Papagiannis\papagge01,C,20,SAC,11,0,6.7,1.2,2.5,0.481,0,0,0,1.2,2.5,0.481,0.481,0,0,0,0.7,1.4,2.1,0.2,0.2,0.3,0.3,0.5,2.4
354,Tony Parker\parketo01,PG,35,SAS,20,20,21.9,3.6,7.5,0.483,0.2,0.7,0.231,3.5,6.8,0.507,0.493,0.9,1.4,0.667,0.2,2,2.2,4,0.6,0.1,1.5,0.8,8.3
355,Chandler Parsons\parsoch01,SF,29,MEM,26,7,21,3.3,6.9,0.486,1.5,3.7,0.411,1.8,3.2,0.571,0.595,0.6,1,0.6,0.5,2.4,2.8,2,0.5,0.3,1.1,1.8,8.8
356,Patrick Patterson\pattepa01,PF,28,OKC,45,0,14.4,1.1,2.9,0.364,0.8,2,0.382,0.3,1,0.326,0.492,0.4,0.5,0.909,0.3,1.8,2,0.6,0.5,0.2,0.4,1,3.3
357,Brandon Paul\paulbr01,SG,26,SAS,42,2,10.8,1,2.4,0.434,0.3,1,0.318,0.7,1.3,0.527,0.505,0.4,0.7,0.6,0.1,1.2,1.3,0.8,0.6,0.1,0.5,1.1,2.8
358,Chris Paul\paulch01,PG,32,HOU,25,25,31.9,6.4,14,0.456,2.6,6.9,0.376,3.8,7.1,0.534,0.548,3.2,3.5,0.92,0.7,5,5.7,9.1,1.8,0.4,2.5,2.6,18.6
359,Adreian Payne\paynead01,PF,26,ORL,5,0,8.6,1.4,2,0.7,0.4,0.6,0.667,1,1.4,0.714,0.8,1,1.2,0.833,0.4,1.4,1.8,0,0.4,0,0.4,1.2,4.2
360,Elfrid Payton\paytoel01,PG,23,ORL,35,35,29,5.3,10.2,0.517,0.6,1.6,0.386,4.6,8.5,0.542,0.548,1.6,2.5,0.629,1.1,2.9,3.9,6.5,1.3,0.3,2.7,2.2,12.7
361,Gary Payton\paytoga02,PG,25,TOT,14,6,8.9,1.1,2.9,0.4,0.1,0.9,0.154,1,1.9,0.519,0.425,0.1,0.2,0.667,0.4,1,1.4,0.9,0.2,0.2,0.2,1.5,2.6
362,London Perrantes\perralo01,PG,23,CLE,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
363,Alec Peters\peteral01,PF,22,PHO,4,0,11.5,1,2.8,0.364,0.8,2.5,0.3,0.3,0.3,1,0.5,0,0,0,0,1,1,1,0,0.5,0.3,0.3,2.8
364,Mason Plumlee\plumlma01,C,27,DEN,45,22,20.5,3,5.3,0.569,0,0,0,3,5.3,0.571,0.569,1.1,2.7,0.413,1.9,4.1,6,2,0.7,1.1,1.6,2.3,7.2
365,Miles Plumlee\plumlmi01,C,29,ATL,25,22,18.3,2.1,3.4,0.612,0,0,0,2.1,3.4,0.612,0.612,0.6,1.2,0.452,1.5,2.6,4.2,0.9,0.4,0.4,1.2,1.4,4.7
366,Jakob Poeltl\poeltja01,C,22,TOR,43,0,17.5,3,4.7,0.655,0,0,0.5,3,4.6,0.657,0.658,0.8,1.5,0.516,2.1,2.6,4.7,0.5,0.4,1.1,0.8,2.7,6.9
367,Quincy Pondexter\pondequ01,SF,29,CHI,19,1,9.6,0.7,2.6,0.286,0.2,1.2,0.136,0.6,1.4,0.407,0.316,0.7,0.9,0.824,0.4,0.8,1.3,0.4,0.4,0.1,0.6,1.3,2.4
368,Otto Porter\porteot01,SF,24,WAS,41,41,31.6,5.4,11.1,0.486,1.7,3.9,0.425,3.8,7.2,0.519,0.56,1.2,1.5,0.817,1.1,5.1,6.3,1.8,1.5,0.6,0.8,1.9,13.7
369,Bobby Portis\portibo01,PF,22,CHI,36,0,20.5,4.7,9.7,0.489,0.9,2.6,0.348,3.8,7.1,0.539,0.534,1.7,2.1,0.805,1.9,4.1,6,1.6,0.5,0.3,1.1,1.3,12.1
370,Kristaps Porzingis\porzikr01,PF,22,NYK,39,39,33.2,8.4,19.4,0.434,1.8,4.9,0.379,6.6,14.6,0.452,0.482,4.9,6,0.815,1.3,5.6,6.9,1.2,0.7,2.4,2.2,2.9,23.6
371,Dwight Powell\poweldw01,C,26,DAL,44,0,18.6,2.8,4.8,0.59,0.3,1,0.267,2.6,3.8,0.677,0.618,1.3,1.8,0.714,1.4,3.3,4.7,0.9,0.8,0.4,0.6,2.2,7.2
372,Norman Powell\powelno01,SG,24,TOR,38,12,17.3,2.6,6.5,0.394,0.8,2.9,0.288,1.7,3.6,0.481,0.459,0.8,0.9,0.806,0.2,1.7,1.9,1.6,0.8,0.3,1.2,1.9,6.7
373,Alex Poythress\poythal01,PF,24,IND,17,0,4.5,0.4,0.9,0.375,0.2,0.4,0.429,0.2,0.5,0.333,0.469,0,0,0,0.3,0.4,0.6,0.1,0.2,0.1,0.1,0.7,0.9
374,Jacob Pullen\pulleja01,PG,28,PHI,3,0,2,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,0,0,0,0,0,0,0,0.3,0,0.7
375,Zhou Qi\qizh01,C,22,HOU,14,0,5.4,0.3,1.7,0.167,0.1,1.1,0.133,0.1,0.6,0.222,0.208,0.5,0.7,0.7,0.1,0.8,0.9,0.1,0.1,0.4,0.4,0.9,1.2
376,Ivan Rabb\rabbiv01,PF,20,MEM,5,0,4.4,1.4,1.8,0.778,0,0,0,1.4,1.8,0.778,0.778,0,0.2,0,0.4,0.8,1.2,0.2,0,0.2,0.4,0.8,2.8
377,Julius Randle\randlju01,C,23,LAL,44,11,23,5.1,9.3,0.547,0.2,0.8,0.235,4.9,8.6,0.576,0.557,2.9,4.2,0.686,1.9,5.2,7,2,0.5,0.7,2.4,3.3,13.3
378,Zach Randolph\randoza01,PF,36,SAC,39,37,25.2,6.2,12.6,0.487,0.7,2.2,0.321,5.5,10.5,0.521,0.514,1.7,2.2,0.788,1.8,5,6.8,2,0.8,0.2,1.9,2,14.7
379,J.J. Redick\redicjj01,SG,33,PHI,36,36,32.6,5.8,13,0.448,2.7,6.7,0.405,3.1,6.3,0.493,0.552,2.9,3.1,0.946,0.2,2.6,2.8,3.3,0.5,0.1,1.5,2.1,17.3
380,Davon Reed\reedda01,SG,22,PHO,1,0,5,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
381,Willie Reed\reedwi02,C,27,LAC,36,3,10.8,2.1,3.1,0.661,0,0.1,0.5,2,3.1,0.664,0.665,0.8,1.5,0.566,0.9,2.2,3.1,0.2,0.3,0.6,0.4,1.4,5
382,Josh Richardson\richajo01,SF,24,MIA,44,44,33.9,4.8,10.6,0.456,1.7,4.6,0.363,3.2,6,0.527,0.534,1.4,1.7,0.829,0.7,2.7,3.4,2.6,1.3,0.9,1.9,2.8,12.7
383,Malachi Richardson\richama01,SG,22,SAC,23,4,12.7,1.1,3.5,0.325,0.5,1.6,0.324,0.6,1.9,0.326,0.4,0.7,1,0.773,0.2,1.1,1.3,0.6,0.4,0,0.4,1.1,3.5
384,Austin Rivers\riverau01,SG,25,LAC,32,30,32.7,5.7,13.7,0.418,2.5,6.3,0.405,3.2,7.4,0.429,0.51,1.8,2.8,0.648,0.5,1.6,2.1,3.6,1.3,0.3,1.9,2.5,15.8
385,Andre Roberson\roberan03,SG,26,OKC,35,35,26.7,2.3,4.3,0.53,0.2,1,0.222,2,3.2,0.628,0.557,0.3,0.8,0.333,1.9,2.8,4.7,1.2,1.1,0.9,0.8,2.2,5
386,Rajon Rondo\rondora01,PG,31,NOP,30,29,25,3.1,6.7,0.47,0.7,2.1,0.344,2.4,4.5,0.529,0.525,0.2,0.3,0.75,0.4,3.1,3.5,7.7,0.9,0.2,2.1,1.8,7.2
387,Derrick Rose\rosede01,PG,29,CLE,7,7,26.9,5.6,11.9,0.47,0.4,1.9,0.231,5.1,10,0.514,0.488,2.7,3,0.905,1,1.6,2.6,1.7,0.3,0.1,2.7,1.6,14.3
